,Rank,Team,GM,W-L,FGM,FGA,FG%,Madness,Years
639,61.0,UConn (AAC),2.0,1-1,44.0,120.0,36.7,1.0,15-16
640,56.0,Little Rock (Sun Belt),2.0,1-1,50.0,131.0,38.2,1.0,15-16
641,53.0,SFA (Southland),2.0,1-1,46.0,119.0,38.7,1.0,15-16
642,50.0,Iowa (Big Ten),2.0,1-1,51.0,129.0,39.5,1.0,15-16
643,49.0,Holy Cross (Patriot),2.0,1-1,38.0,95.0,40.0,1.0,15-16
644,48.0,Michigan (Big Ten),2.0,1-1,49.0,122.0,40.2,1.0,15-16
645,47.0,Providence (Big East),2.0,1-1,48.0,119.0,40.3,1.0,15-16
646,44.0,Hawaii (Big West),2.0,1-1,50.0,122.0,41.0,1.0,15-16
647,38.0,Middle Tenn. (CUSA),2.0,1-1,52.0,123.0,42.3,1.0,15-16
648,37.0,UNI (MVC),2.0,1-1,48.0,112.0,42.9,1.0,15-16
649,36.0,Saint Joseph's (Atlantic 10),2.0,1-1,50.0,115.0,43.5,1.0,15-16
650,30.0,Yale (Ivy League),2.0,1-1,51.0,114.0,44.7,1.0,15-16
651,28.0,Xavier (Big East),2.0,1-1,52.0,116.0,44.8,1.0,15-16
652,21.0,VCU (Atlantic 10),2.0,1-1,57.0,122.0,46.7,1.0,15-16
653,19.0,Kentucky (SEC),2.0,1-1,57.0,120.0,47.5,1.0,15-16
654,18.0,Butler (Big East),2.0,1-1,50.0,105.0,47.6,1.0,15-16
655,15.0,Utah (Pac-12),2.0,1-1,49.0,102.0,48.0,1.0,15-16
656,7.0,FGCU (ASUN),2.0,1-1,59.0,115.0,51.3,1.0,15-16
657,68.0,Stony Brook (America East),1.0,0-1,20.0,76.0,26.3,1.0,15-16
658,67.0,Vanderbilt (SEC),1.0,0-1,16.0,53.0,30.2,1.0,15-16
659,66.0,Hampton (MEAC),1.0,0-1,17.0,56.0,30.4,1.0,15-16
660,65.0,West Virginia (Big 12),1.0,0-1,16.0,52.0,30.8,1.0,15-16
661,64.0,Dayton (Atlantic 10),1.0,0-1,18.0,56.0,32.1,1.0,15-16
662,63.0,Seton Hall (Big East),1.0,0-1,20.0,62.0,32.3,1.0,15-16
663,62.0,FDU (NEC),1.0,0-1,23.0,70.0,32.9,1.0,15-16
664,60.0,UNC Asheville (Big South),1.0,0-1,21.0,57.0,36.8,1.0,15-16
