Team,Madness,Years,AST,TO,Ratio,TPG,3FG%,PTS,PPG,ORebs,DRebs,REB,RPG,FGM_y,FGA_y,FT,FTA,FT%
St. John's (NY) (Big East),0.0,21-22,600,381,1.57,11.90625,33.5,"2,547",79.6,383,828,"1,211",37.84,969,"2,137",377,557,67.7
Vermont (America East),1.0,21-22,515,326,1.58,9.588235294117649,36.5,"2,544",74.8,248,942,"1,190",35.0,936,"1,902",374,504,74.2
Notre Dame (ACC),1.0,21-22,491,365,1.35,10.428571428571429,38.1,"2,540",72.6,251,938,"1,189",33.97,913,"1,973",396,526,75.3
Oregon (Pac-12),0.0,21-22,426,411,1.04,11.742857142857142,33.2,"2,532",72.3,367,861,"1,228",35.09,936,"2,075",411,605,67.9
VMI (SoCon),0.0,21-22,511,371,1.38,11.59375,38.1,"2,529",79.0,265,900,"1,165",36.41,876,"1,908",377,476,79.2
Portland (WCC),0.0,21-22,487,450,1.08,13.235294117647058,35.0,"2,524",74.2,286,947,"1,233",36.26,858,"1,963",544,688,79.1
Weber St. (Big Sky),0.0,21-22,351,384,0.91,11.636363636363637,33.9,"2,513",76.2,218,842,"1,060",32.12,878,"1,847",521,696,74.9
Col. of Charleston (CAA),0.0,21-22,422,501,0.84,15.65625,33.9,"2,502",78.2,440,851,"1,291",40.34,895,"2,039",452,619,73.0
Longwood (Big South),1.0,21-22,477,407,1.17,12.333333333333334,37.7,"2,500",75.8,403,821,"1,224",37.09,873,"1,938",485,667,72.7
Utah St. (Mountain West),0.0,21-22,611,424,1.44,12.470588235294118,34.2,"2,497",73.4,287,914,"1,201",35.32,917,"1,926",398,552,72.1
Bryant (NEC),1.0,21-22,444,444,1.0,13.875,30.4,"2,497",78.0,404,918,"1,322",41.31,879,"2,013",475,649,73.2
Hofstra (CAA),0.0,21-22,495,330,1.5,10.3125,34.0,"2,494",77.9,263,799,"1,062",33.19,928,"2,004",333,418,79.7
Western Ill. (Summit League),0.0,21-22,364,367,0.99,11.46875,33.1,"2,493",77.9,369,852,"1,221",38.16,889,"2,048",438,619,70.8
Bowling Green (MAC),0.0,21-22,390,380,1.03,12.258064516129032,34.0,"2,488",80.3,379,824,"1,203",38.81,881,"2,025",471,637,73.9
Iona (MAAC),0.0,21-22,533,418,1.28,12.666666666666666,33.2,"2,482",75.2,377,843,"1,220",36.97,872,"1,952",504,727,69.3
Memphis (AAC),1.0,21-22,522,527,0.99,15.969696969696969,35.5,"2,480",75.2,413,867,"1,280",38.79,889,"1,895",497,716,69.4
Towson (CAA),0.0,21-22,458,404,1.13,11.882352941176473,35.7,"2,478",72.9,408,834,"1,242",36.53,870,"1,943",473,658,71.9
Indiana (Big Ten),1.0,21-22,511,414,1.23,11.82857142857143,33.3,"2,478",70.8,319,948,"1,267",36.2,903,"1,988",466,666,70.0
Michigan (Big Ten),1.0,21-22,481,396,1.21,11.647058823529411,33.9,"2,470",72.6,337,878,"1,215",35.74,914,"1,957",429,575,74.6
Boston U. (Patriot),0.0,21-22,387,424,0.91,12.114285714285714,35.4,"2,470",70.6,359,860,"1,219",34.83,893,"1,967",421,570,73.9
Youngstown St. (Horizon),0.0,21-22,403,399,1.01,11.735294117647058,34.3,"2,470",72.6,347,833,"1,180",34.71,878,"1,960",458,602,76.1
North Dakota St. (Summit League),0.0,21-22,367,385,0.95,11.666666666666666,35.8,"2,469",74.8,279,955,"1,234",37.39,867,"1,878",484,636,76.1
UConn (Big East),1.0,21-22,463,388,1.19,11.757575757575758,35.2,"2,469",74.8,455,878,"1,333",40.39,880,"2,021",464,616,75.3
New Orleans (Southland),0.0,21-22,416,457,0.91,14.28125,30.8,"2,469",77.2,304,868,"1,172",36.62,890,"1,911",557,762,73.1
LSU (SEC),1.0,21-22,431,499,0.86,14.676470588235292,31.6,"2,467",72.6,411,846,"1,257",36.97,879,"2,005",489,669,73.1
Wyoming (Mountain West),1.0,21-22,381,385,0.99,11.323529411764708,34.2,"2,466",72.5,281,931,"1,212",35.65,853,"1,865",485,669,72.5
New Mexico St. (WAC),1.0,21-22,467,478,0.98,14.058823529411764,33.1,"2,464",72.5,371,924,"1,295",38.09,869,"1,912",458,652,70.2
Southern California (Pac-12),1.0,21-22,486,415,1.17,12.205882352941176,35.7,"2,461",72.4,399,964,"1,363",40.09,910,"2,002",411,619,66.4
Eastern Ky. (ASUN),0.0,21-22,486,359,1.35,11.580645161290322,35.3,"2,457",79.3,390,731,"1,121",36.16,887,"2,125",320,453,70.6
Illinois (Big Ten),1.0,21-22,501,408,1.23,12.363636363636363,35.9,"2,456",74.4,379,892,"1,271",38.52,863,"1,925",435,616,70.6
Illinois St. (MVC),0.0,21-22,406,455,0.89,13.787878787878787,36.7,"2,447",74.2,326,838,"1,164",35.27,869,"1,926",450,604,74.5
Lipscomb (ASUN),0.0,21-22,502,437,1.15,13.242424242424242,34.4,"2,442",74.0,252,934,"1,186",35.94,850,"1,860",475,652,72.9
Long Beach St. (Big West),0.0,21-22,411,437,0.94,13.242424242424242,34.6,"2,437",73.8,326,839,"1,165",35.3,841,"1,926",542,743,72.9
SMU (AAC),0.0,21-22,457,407,1.12,12.333333333333334,35.4,"2,436",73.8,313,933,"1,246",37.76,827,"1,878",502,669,75.0
Purdue Fort Wayne (Horizon),0.0,21-22,465,445,1.04,13.484848484848484,37.1,"2,424",73.5,248,771,"1,019",30.88,864,"1,888",385,515,74.8
Dayton (Atlantic 10),0.0,21-22,504,433,1.16,12.371428571428572,36.1,"2,423",69.2,322,910,"1,232",35.2,901,"1,883",392,574,68.3
Kent St. (MAC),0.0,21-22,423,416,1.02,12.235294117647058,33.3,"2,423",71.3,353,867,"1,220",35.88,852,"1,932",462,619,74.6
Creighton (Big East),1.0,21-22,466,492,0.95,14.057142857142855,30.8,"2,422",69.2,336,999,"1,335",38.14,896,"2,002",395,535,73.8
Massachusetts (Atlantic 10),0.0,21-22,437,371,1.18,11.59375,37.1,"2,422",75.7,335,744,"1,079",33.72,823,"1,901",472,623,75.8
Liberty (ASUN),0.0,21-22,486,383,1.27,11.606060606060606,38.2,"2,421",73.4,234,897,"1,131",34.27,851,"1,801",378,500,75.6
Southeast Mo. St. (OVC),0.0,21-22,441,421,1.05,13.15625,34.4,"2,418",75.6,289,773,"1,062",33.19,818,"1,871",501,684,73.2
Oklahoma (Big 12),0.0,21-22,491,516,0.95,14.742857142857142,34.7,"2,417",69.1,267,846,"1,113",31.8,885,"1,859",381,510,74.7
UNC Asheville (Big South),0.0,21-22,407,392,1.04,12.25,36.3,"2,410",75.3,299,786,"1,085",33.91,831,"1,817",485,668,72.6
Miami (OH) (MAC),0.0,21-22,440,331,1.33,10.34375,34.6,"2,408",75.2,317,793,"1,110",34.69,870,"1,980",376,478,78.7
Winthrop (Big South),0.0,21-22,428,467,0.92,14.59375,37.1,"2,407",75.2,268,829,"1,097",34.28,842,"1,733",447,639,70.0
Coastal Carolina (Sun Belt),0.0,21-22,445,437,1.02,13.242424242424242,35.5,"2,404",72.8,400,918,"1,318",39.94,872,"1,937",414,595,69.6
Loyola Chicago (MVC),1.0,21-22,492,402,1.22,12.181818181818182,37.9,"2,403",72.8,259,857,"1,116",33.82,855,"1,794",400,562,71.2
Akron (MAC),1.0,21-22,397,389,1.02,11.441176470588236,35.4,"2,402",70.6,334,854,"1,188",34.94,827,"1,799",483,701,68.9
Florida (SEC),0.0,21-22,435,423,1.03,12.441176470588236,30.3,"2,400",70.6,377,767,"1,144",33.65,825,"1,936",481,654,73.5
Buffalo (MAC),0.0,21-22,451,396,1.14,13.2,34.2,"2,398",79.9,425,848,"1,273",42.43,891,"1,957",361,509,70.9
Mississippi St. (SEC),0.0,21-22,455,449,1.01,13.205882352941176,29.5,"2,396",70.5,384,852,"1,236",36.35,860,"1,891",519,720,72.1
Princeton (Ivy League),0.0,21-22,467,305,1.53,10.166666666666666,38.7,"2,395",79.8,268,798,"1,066",35.53,910,"1,866",248,388,63.9
Seattle U (WAC),0.0,21-22,436,371,1.18,11.59375,34.0,"2,393",74.8,319,884,"1,203",37.59,829,"1,989",426,556,76.6
Samford (SoCon),0.0,21-22,411,440,0.93,13.75,33.6,"2,390",74.7,340,799,"1,139",35.59,856,"1,923",397,544,73.0
Boise St. (Mountain West),1.0,21-22,399,423,0.94,12.085714285714284,34.6,"2,389",68.3,358,861,"1,219",34.83,849,"1,910",434,668,65.0
SFA (WAC),0.0,21-22,482,526,0.92,16.4375,33.0,"2,385",74.5,380,753,"1,133",35.41,877,"1,849",442,652,67.8
Fresno St. (Mountain West),0.0,21-22,431,402,1.07,11.166666666666666,33.7,"2,384",66.2,319,907,"1,226",34.06,855,"1,916",424,596,71.1
UNI (MVC),0.0,21-22,377,356,1.06,11.125,35.5,"2,383",74.5,218,826,"1,044",32.62,823,"1,793",459,582,78.9
Oakland (Horizon),0.0,21-22,430,392,1.1,12.25,30.2,"2,381",74.4,347,757,"1,104",34.5,824,"1,876",498,627,79.4
The Citadel (SoCon),0.0,21-22,500,379,1.32,12.225806451612904,35.4,"2,381",76.8,293,866,"1,159",37.39,838,"1,884",373,555,67.2
Morehead St. (OVC),0.0,21-22,546,459,1.19,13.5,36.0,"2,379",70.0,354,892,"1,246",36.65,868,"1,904",360,540,66.7
New Mexico (Mountain West),0.0,21-22,376,375,1.0,11.71875,34.4,"2,376",74.2,282,806,"1,088",34.0,834,"1,920",459,612,75.0
Saint Mary's (CA) (WCC),1.0,21-22,458,381,1.2,11.205882352941176,35.3,"2,370",69.7,293,853,"1,146",33.71,888,"1,915",348,459,75.8
Marquette (Big East),1.0,21-22,511,396,1.29,12.375,34.4,"2,369",74.0,251,862,"1,113",34.78,861,"1,915",372,502,74.1
Clemson (ACC),0.0,21-22,470,364,1.29,11.030303030303031,36.3,"2,367",71.7,281,862,"1,143",34.64,851,"1,868",409,556,73.6
Northwestern St. (Southland),0.0,21-22,481,457,1.05,14.28125,34.2,"2,363",73.8,353,801,"1,154",36.06,895,"2,012",340,490,69.4
South Alabama (Sun Belt),0.0,21-22,393,416,0.94,12.606060606060606,33.7,"2,362",71.6,321,817,"1,138",34.48,863,"1,878",412,595,69.2
Providence (Big East),1.0,21-22,437,378,1.16,11.454545454545457,34.4,"2,360",71.5,348,893,"1,241",37.61,808,"1,859",501,688,72.8
UMBC (America East),0.0,21-22,396,351,1.13,10.96875,37.8,"2,359",73.7,237,811,"1,048",32.75,813,"1,832",439,560,78.4
Jacksonville St. (ASUN),1.0,21-22,458,419,1.09,13.09375,38.6,"2,353",73.5,310,867,"1,177",36.78,838,"1,796",380,554,68.6
Nebraska (Big Ten),0.0,21-22,408,402,1.01,12.5625,32.0,"2,345",73.3,235,824,"1,059",33.09,832,"1,875",457,625,73.1
Colorado (Pac-12),0.0,21-22,441,447,0.99,13.545454545454543,36.6,"2,345",71.1,329,894,"1,223",37.06,817,"1,847",484,640,75.6
Texas (Big 12),1.0,21-22,450,392,1.15,11.529411764705882,33.0,"2,339",68.8,355,776,"1,131",33.26,832,"1,886",450,603,74.6
NC State (ACC),0.0,21-22,362,322,1.12,10.0625,34.1,"2,336",73.0,377,738,"1,115",34.84,824,"1,997",421,581,72.5
Cleveland St. (Horizon),0.0,21-22,513,420,1.22,13.548387096774194,32.7,"2,336",75.4,346,747,"1,093",35.26,853,"1,783",433,645,67.1
Monmouth (MAAC),0.0,21-22,397,398,1.0,11.705882352941176,33.1,"2,333",68.6,355,886,"1,241",36.5,801,"1,915",515,707,72.8
South Dakota (Summit League),0.0,21-22,370,309,1.2,9.96774193548387,37.4,"2,329",75.1,278,790,"1,068",34.45,829,"1,779",450,600,75.0
Ohio St. (Big Ten),1.0,21-22,400,358,1.12,11.1875,36.5,"2,329",72.8,288,819,"1,107",34.59,819,"1,740",440,581,75.7
TCU (Big 12),1.0,21-22,464,492,0.94,14.470588235294118,30.2,"2,328",68.5,443,885,"1,328",39.06,862,"1,963",416,617,67.4
Tennessee Tech (OVC),0.0,21-22,512,424,1.21,13.25,34.2,"2,328",72.8,371,816,"1,187",37.09,897,"1,998",310,469,66.1
Mercer (SoCon),0.0,21-22,473,408,1.16,12.363636363636363,35.1,"2,325",70.5,263,797,"1,060",32.12,828,"1,811",401,521,77.0
Wofford (SoCon),0.0,21-22,425,373,1.14,11.65625,35.6,"2,322",72.6,272,724,996,31.12,818,"1,758",383,505,75.8
Kennesaw St. (ASUN),0.0,21-22,446,382,1.17,12.32258064516129,36.5,"2,319",74.8,332,770,"1,102",35.55,850,"1,836",361,545,66.2
Kansas City (Summit League),0.0,21-22,412,326,1.26,10.516129032258064,36.4,"2,311",74.5,241,730,971,31.32,855,"1,788",376,556,67.6
Montana (Big Sky),0.0,21-22,420,328,1.28,10.25,34.9,"2,310",72.2,200,780,980,30.62,794,"1,752",498,634,78.5
St. Bonaventure (Atlantic 10),0.0,21-22,451,342,1.32,10.363636363636363,33.1,"2,309",70.0,296,813,"1,109",33.61,868,"1,917",373,497,75.1
Wisconsin (Big Ten),1.0,21-22,365,287,1.27,8.696969696969697,30.6,"2,308",69.9,308,848,"1,156",35.03,815,"1,931",465,626,74.3
ETSU (SoCon),0.0,21-22,420,360,1.17,11.25,35.0,"2,306",72.1,350,765,"1,115",34.84,853,"1,921",319,440,72.5
Ball St. (MAC),0.0,21-22,408,433,0.94,13.96774193548387,36.1,"2,304",74.3,302,806,"1,108",35.74,788,"1,783",463,667,69.4
Seton Hall (Big East),1.0,21-22,330,388,0.85,12.125,33.8,"2,302",71.9,387,846,"1,233",38.53,808,"1,925",452,600,75.3
Norfolk St. (MEAC),1.0,21-22,386,435,0.89,14.03225806451613,34.3,"2,302",74.3,326,876,"1,202",38.77,814,"1,766",458,655,69.9
Iowa St. (Big 12),1.0,21-22,513,484,1.06,13.82857142857143,31.5,"2,296",65.6,337,796,"1,133",32.37,849,"1,969",364,533,68.3
Cincinnati (AAC),0.0,21-22,433,346,1.25,10.484848484848484,31.5,"2,291",69.4,380,846,"1,226",37.15,812,"2,012",398,595,66.9
USC Upstate (Big South),0.0,21-22,438,408,1.07,12.75,36.5,"2,287",71.5,248,796,"1,044",32.62,815,"1,823",400,529,75.6
Gonzaga (WCC),1.0,22-23,602,397,1.52,10.72972972972973,37.9,"3,187",86.1,383,993,"1,376",37.19,"1,188","2,282",532,768,69.3
UConn (Big East),1.0,22-23,684,503,1.36,12.897435897435898,36.3,"3,064",78.6,507,"1,027","1,534",39.33,"1,082","2,333",547,719,76.1
Southern Utah (WAC),0.0,22-23,485,492,0.99,13.297297297297296,35.3,"3,064",82.8,395,"1,032","1,427",38.57,"1,064","2,286",623,859,72.5
Alabama (SEC),1.0,22-23,555,512,1.08,13.83783783783784,33.5,"3,027",81.8,484,"1,168","1,652",44.65,"1,023","2,314",615,848,72.5
Xavier (Big East),1.0,22-23,705,459,1.54,12.405405405405403,39.0,"2,995",80.9,380,"1,016","1,396",37.73,"1,109","2,256",503,708,71.0
Toledo (MAC),0.0,22-23,521,336,1.55,9.6,39.5,"2,989",85.4,353,839,"1,192",34.06,"1,057","2,138",573,744,77.0
Texas (Big 12),1.0,22-23,614,439,1.4,11.552631578947368,34.7,"2,963",78.0,366,930,"1,296",34.11,"1,083","2,289",523,699,74.8
Miami (FL) (ACC),1.0,22-23,535,411,1.3,11.108108108108109,36.8,"2,925",79.1,384,901,"1,285",34.73,"1,058","2,205",531,677,78.4
Oral Roberts (Summit League),1.0,22-23,514,329,1.56,9.4,36.5,"2,915",83.3,313,975,"1,288",36.8,"1,058","2,231",424,548,77.4
Furman (SoCon),1.0,22-23,600,397,1.51,11.02777777777778,34.4,"2,911",80.9,351,911,"1,262",35.06,"1,016","2,129",539,727,74.1
Eastern Ky. (ASUN),0.0,22-23,552,444,1.24,12.0,34.3,"2,909",78.6,503,978,"1,481",40.03,"1,098","2,487",395,599,65.9
Arizona (Pac-12),1.0,22-23,662,468,1.41,13.371428571428572,37.8,"2,866",81.9,356,"1,020","1,376",39.31,"1,023","2,072",525,742,70.8
Utah Valley (WAC),0.0,22-23,594,509,1.17,13.756756756756756,33.2,"2,863",77.4,377,"1,115","1,492",40.32,"1,022","2,200",577,780,74.0
FDU (NEC),1.0,22-23,545,425,1.28,11.486486486486486,34.5,"2,863",77.4,427,844,"1,271",34.35,"1,045","2,312",471,626,75.2
Marquette (Big East),1.0,22-23,624,386,1.62,10.72222222222222,35.3,"2,856",79.3,317,829,"1,146",31.83,"1,056","2,174",422,588,71.8
Indiana St. (MVC),0.0,22-23,570,434,1.31,12.055555555555555,35.5,"2,855",79.3,249,996,"1,245",34.58,"1,008","2,088",499,647,77.1
Creighton (Big East),1.0,22-23,581,429,1.35,11.594594594594597,35.4,"2,828",76.4,306,"1,063","1,369",37.0,"1,014","2,164",481,614,78.3
Col. of Charleston (CAA),1.0,22-23,478,418,1.14,11.942857142857145,33.1,"2,804",80.1,472,939,"1,411",40.31,959,"2,202",538,723,74.4
A&M-Corpus Christi (Southland),1.0,22-23,536,448,1.2,12.8,36.4,"2,803",80.1,425,881,"1,306",37.31,971,"2,152",593,749,79.2
Southeast Mo. St. (OVC),1.0,22-23,497,471,1.06,13.083333333333334,32.7,"2,789",77.5,347,915,"1,262",35.06,958,"2,191",587,828,70.9
Youngstown St. (Horizon),0.0,22-23,521,376,1.39,11.058823529411764,36.5,"2,785",81.9,351,853,"1,204",35.41,"1,017","2,088",480,616,77.9
Memphis (AAC),1.0,22-23,546,467,1.17,13.342857142857143,35.3,"2,778",79.4,364,892,"1,256",35.89,"1,004","2,096",555,743,74.7
Cincinnati (AAC),0.0,22-23,559,384,1.46,10.666666666666666,35.1,"2,776",77.1,403,938,"1,341",37.25,"1,022","2,281",418,592,70.6
San Diego St. (Mountain West),1.0,22-23,504,452,1.12,11.58974358974359,34.8,"2,775",71.2,426,990,"1,416",36.31,986,"2,251",532,737,72.2
Houston (AAC),1.0,22-23,544,370,1.47,10.0,34.0,"2,770",74.9,474,967,"1,441",38.95,"1,010","2,203",466,636,73.3
Missouri (SEC),1.0,22-23,559,390,1.43,11.142857142857142,36.0,"2,762",78.9,310,748,"1,058",30.23,988,"2,092",461,608,75.8
New Mexico (Mountain West),0.0,22-23,466,382,1.22,11.235294117647058,35.2,"2,749",80.9,332,928,"1,260",37.06,983,"2,043",591,800,73.9
UCLA (Pac-12),1.0,22-23,538,371,1.45,10.027027027027026,34.9,"2,743",74.1,418,889,"1,307",35.32,"1,033","2,245",450,616,73.1
Kansas St. (Big 12),1.0,22-23,611,498,1.23,13.833333333333334,34.3,"2,742",76.2,355,892,"1,247",34.64,961,"2,083",562,751,74.8
Utah St. (Mountain West),1.0,22-23,585,426,1.37,12.17142857142857,38.7,"2,736",78.2,300,943,"1,243",35.51,947,"1,975",517,678,76.3
Colgate (Patriot),1.0,22-23,637,357,1.78,10.2,40.3,"2,733",78.1,279,900,"1,179",33.69,"1,042","2,038",363,549,66.1
Kansas (Big 12),1.0,22-23,590,444,1.33,12.333333333333334,34.7,"2,715",75.4,353,941,"1,294",35.94,"1,002","2,142",460,639,72.0
Grand Canyon (WAC),1.0,22-23,452,430,1.05,11.944444444444445,38.3,"2,706",75.2,364,953,"1,317",36.58,933,"2,018",517,722,71.6
Pittsburgh (ACC),1.0,22-23,509,400,1.27,11.11111111111111,36.0,"2,704",75.1,364,937,"1,301",36.14,930,"2,081",519,684,75.9
Chattanooga (SoCon),0.0,22-23,536,407,1.32,11.628571428571428,37.7,"2,702",77.2,335,933,"1,268",36.23,924,"2,042",456,639,71.4
Liberty (ASUN),0.0,22-23,580,373,1.55,10.36111111111111,37.3,"2,689",74.7,296,923,"1,219",33.86,963,"2,032",387,532,72.7
Penn St. (Big Ten),1.0,22-23,508,332,1.53,8.972972972972974,38.7,"2,673",72.2,227,978,"1,205",32.57,978,"2,111",332,449,73.9
Arkansas (SEC),1.0,22-23,462,458,1.01,12.72222222222222,31.3,"2,666",74.1,373,899,"1,272",35.33,961,"2,063",565,810,69.8
Kent St. (MAC),1.0,22-23,432,398,1.09,11.371428571428572,33.6,"2,665",76.1,386,863,"1,249",35.69,957,"2,128",476,656,72.6
Vanderbilt (SEC),0.0,22-23,429,399,1.08,10.783783783783784,33.6,"2,661",71.9,417,923,"1,340",36.22,930,"2,187",491,690,71.2
Milwaukee (Horizon),0.0,22-23,472,515,0.92,15.147058823529411,34.5,"2,659",78.2,405,925,"1,330",39.12,944,"2,062",504,681,74.0
Iona (MAAC),1.0,22-23,520,367,1.42,10.485714285714286,36.2,"2,658",75.9,389,856,"1,245",35.57,979,"2,135",453,619,73.2
James Madison (Sun Belt),0.0,22-23,444,435,1.02,13.181818181818182,35.0,"2,658",80.5,393,864,"1,257",38.09,933,"2,019",529,748,70.7
UT Martin (OVC),0.0,22-23,450,394,1.14,11.93939393939394,33.1,"2,658",80.5,346,947,"1,293",39.18,945,"2,058",513,711,72.2
UMass Lowell (America East),0.0,22-23,486,466,1.04,13.705882352941176,38.1,"2,653",78.0,406,908,"1,314",38.65,965,"1,995",487,662,73.6
NC State (ACC),1.0,22-23,434,320,1.36,9.411764705882351,34.7,"2,643",77.7,385,859,"1,244",36.59,982,"2,181",398,551,72.2
Iowa (Big Ten),1.0,22-23,541,325,1.66,9.848484848484848,34.0,"2,642",80.1,398,809,"1,207",36.58,941,"2,077",495,671,73.8
Wright St. (Horizon),0.0,22-23,495,419,1.18,12.696969696969695,35.7,"2,637",79.9,304,908,"1,212",36.73,"1,031","2,077",370,502,73.7
Howard (MEAC),1.0,22-23,523,573,0.91,16.37142857142857,37.4,"2,634",75.3,407,845,"1,252",35.77,934,"2,038",484,679,71.3
TCU (Big 12),1.0,22-23,565,416,1.36,11.885714285714286,31.0,"2,634",75.3,402,852,"1,254",35.83,965,"2,128",507,725,69.9
Louisiana (Sun Belt),1.0,22-23,489,415,1.18,12.205882352941176,37.6,"2,630",77.4,377,864,"1,241",36.5,950,"1,972",491,720,68.2
Kennesaw St. (ASUN),1.0,22-23,502,434,1.16,12.4,36.5,"2,626",75.0,337,897,"1,234",35.26,931,"2,021",478,723,66.1
Hofstra (CAA),0.0,22-23,504,376,1.34,10.742857142857142,36.7,"2,619",74.8,271,910,"1,181",33.74,"1,001","2,084",314,425,73.9
Baylor (Big 12),1.0,22-23,483,413,1.17,12.147058823529411,36.8,"2,619",77.0,391,764,"1,155",33.97,880,"1,957",536,720,74.4
Drake (MVC),1.0,22-23,478,368,1.3,10.514285714285714,37.0,"2,617",74.8,278,972,"1,250",35.71,952,"2,032",435,567,76.7
UC Irvine (Big West),0.0,22-23,518,431,1.2,12.314285714285717,37.7,"2,617",74.8,341,955,"1,296",37.03,969,"2,082",432,600,72.0
Marshall (Sun Belt),0.0,22-23,561,372,1.51,11.625,33.8,"2,616",81.8,395,852,"1,247",38.97,986,"2,120",380,548,69.3
Indiana (Big Ten),1.0,22-23,533,402,1.33,11.485714285714286,36.8,"2,616",74.7,321,929,"1,250",35.71,994,"2,044",428,602,71.1
Eastern Wash. (Big Sky),0.0,22-23,523,461,1.13,13.558823529411764,35.8,"2,607",76.7,305,917,"1,222",35.94,931,"1,901",445,589,75.6
UNC Asheville (Big South),1.0,22-23,446,496,0.9,14.17142857142857,38.8,"2,604",74.4,295,924,"1,219",34.83,897,"1,890",536,772,69.4
Ohio (MAC),0.0,22-23,412,370,1.11,11.212121212121213,37.3,"2,602",78.8,399,840,"1,239",37.55,945,"2,063",417,571,73.0
Duke (ACC),1.0,22-23,526,432,1.22,12.0,33.5,"2,592",72.0,432,960,"1,392",38.67,936,"2,072",475,620,76.6
San Francisco (WCC),0.0,22-23,436,469,0.93,13.794117647058824,36.1,"2,591",76.2,326,847,"1,173",34.5,883,"1,975",476,635,75.0
Montana St. (Big Sky),1.0,22-23,438,415,1.06,11.857142857142858,33.6,"2,588",73.9,291,863,"1,154",32.97,879,"1,876",614,814,75.4
West Virginia (Big 12),1.0,22-23,442,440,1.0,12.941176470588236,35.0,"2,583",76.0,383,769,"1,152",33.88,882,"1,953",571,769,74.3
Northern Ariz. (Big Sky),0.0,22-23,484,378,1.28,10.8,36.2,"2,581",73.7,354,835,"1,189",33.97,930,"2,123",426,576,74.0
Portland (WCC),0.0,22-23,488,420,1.16,12.727272727272728,37.5,"2,566",77.8,268,814,"1,082",32.79,836,"1,837",577,774,74.5
Arizona St. (Pac-12),1.0,22-23,515,422,1.22,11.72222222222222,32.2,"2,559",71.1,395,920,"1,315",36.53,910,"2,163",465,675,68.9
Providence (Big East),1.0,22-23,482,387,1.25,11.727272727272728,34.6,"2,552",77.3,400,857,"1,257",38.09,901,"1,975",532,717,74.2
St. John's (NY) (Big East),0.0,22-23,500,462,1.08,14.0,33.1,"2,552",77.3,433,891,"1,324",40.12,970,"2,159",419,599,69.9
Texas A&M (SEC),1.0,22-23,439,430,1.02,12.285714285714286,32.6,"2,549",72.8,435,853,"1,288",36.8,835,"1,932",662,872,75.9
Tennessee (SEC),1.0,22-23,601,431,1.39,11.97222222222222,32.9,"2,547",70.8,464,918,"1,382",38.39,908,"2,097",455,643,70.8
Purdue (Big Ten),1.0,22-23,542,388,1.4,11.085714285714284,32.2,"2,543",72.7,430,924,"1,354",38.69,884,"1,936",536,720,74.4
Oregon (Pac-12),0.0,22-23,477,440,1.08,12.22222222222222,32.0,"2,542",70.6,397,957,"1,354",37.61,916,"2,043",454,653,69.5
Clemson (ACC),0.0,22-23,485,376,1.29,11.058823529411764,36.4,"2,540",74.7,252,944,"1,196",35.18,899,"1,923",460,586,78.5
Santa Clara (WCC),0.0,22-23,460,414,1.11,12.545454545454543,37.1,"2,538",76.9,351,910,"1,261",38.21,919,"2,026",425,604,70.4
Ohio St. (Big Ten),0.0,22-23,410,375,1.09,10.714285714285714,36.8,"2,538",72.5,370,887,"1,257",35.91,948,"2,052",403,545,73.9
Kentucky (SEC),1.0,22-23,512,400,1.28,11.764705882352942,34.7,"2,532",74.5,472,867,"1,339",39.38,929,"2,045",461,653,70.6
Wake Forest (ACC),0.0,22-23,444,399,1.11,12.090909090909092,36.4,"2,528",76.6,275,854,"1,129",34.21,878,"1,909",457,613,74.6
Detroit Mercy (Horizon),0.0,22-23,413,390,1.06,11.818181818181818,38.6,"2,527",76.6,433,779,"1,212",36.73,876,"2,024",437,569,76.8
Long Beach St. (Big West),0.0,22-23,494,466,1.06,14.12121212121212,29.6,"2,524",76.5,429,912,"1,341",40.64,949,"2,086",480,708,67.8
Lipscomb (ASUN),0.0,22-23,466,399,1.17,12.090909090909092,35.6,"2,521",76.4,289,909,"1,198",36.3,943,"1,983",369,496,74.4
Virginia Tech (ACC),0.0,22-23,528,336,1.57,9.882352941176473,35.8,"2,521",74.1,288,843,"1,131",33.26,931,"1,983",378,514,73.5
Samford (SoCon),0.0,22-23,374,405,0.92,12.65625,35.3,"2,519",78.7,319,818,"1,137",35.53,832,"1,833",565,756,74.7
UTRGV (WAC),0.0,22-23,505,514,0.98,16.0625,33.9,"2,518",78.7,345,866,"1,211",37.84,868,"1,852",560,802,69.8
North Carolina (ACC),0.0,22-23,397,355,1.12,10.757575757575758,31.2,"2,514",76.2,369,935,"1,304",39.52,866,"1,997",548,739,74.2
Western Caro. (SoCon),0.0,22-23,428,365,1.17,10.735294117647058,34.0,"2,513",73.9,335,921,"1,256",36.94,871,"2,015",482,674,71.5
Cleveland St. (Horizon),0.0,22-23,465,406,1.15,11.6,30.7,"2,512",71.8,438,804,"1,242",35.49,958,"2,110",418,614,68.1
UC Santa Barbara (Big West),1.0,22-23,495,397,1.25,11.342857142857143,35.0,"2,510",71.7,279,834,"1,113",31.8,924,"1,875",468,644,72.7
Pacific (WCC),0.0,22-23,419,389,1.08,11.787878787878787,39.0,"2,502",75.8,267,777,"1,044",31.64,868,"1,920",469,651,72.0
