Team,Madness,Years,AST,TO,Ratio,TPG,3FG%,PTS,PPG,ORebs,DRebs,REB,RPG,FGM_y,FGA_y,FT,FTA,FT%
Valparaiso (Horizon),0.0,13-14,437,506,0.86,14.882352941176473,37.3,"2,439",71.7,337,883,"1,220",0.0,813,"1,738",580,790,73.4
Saint Joseph's (Atlantic 10),1.0,13-14,476,421,1.13,12.382352941176473,37.9,"2,433",71.6,326,892,"1,218",0.0,840,"1,789",503,780,64.5
Arkansas St. (Sun Belt),0.0,13-14,425,390,1.09,12.1875,38.3,"2,432",76.0,301,803,"1,104",0.0,797,"1,795",556,766,72.6
Ohio St. (Big Ten),1.0,13-14,421,394,1.07,11.257142857142858,32.4,"2,432",69.5,346,841,"1,187",0.0,843,"1,875",546,793,68.9
Norfolk St. (MEAC),0.0,13-14,465,457,1.02,13.441176470588236,35.2,"2,428",71.4,418,777,"1,195",0.0,866,"1,864",509,734,69.3
Stony Brook (America East),0.0,13-14,434,426,1.02,12.529411764705882,35.5,"2,426",71.4,394,857,"1,251",0.0,860,"1,900",522,725,72.0
Gardner-Webb (Big South),0.0,13-14,498,405,1.23,12.272727272727272,33.9,"2,425",73.5,401,782,"1,183",0.0,848,"1,895",554,805,68.8
Oregon St. (Pac-12),0.0,13-14,430,432,1.0,13.5,39.2,"2,425",75.8,312,785,"1,097",0.0,825,"1,689",598,860,69.5
Eastern Mich. (MAC),0.0,13-14,393,432,0.91,11.675675675675675,30.9,"2,421",65.4,421,881,"1,302",0.0,820,"2,004",594,876,67.8
Wright St. (Horizon),0.0,13-14,493,480,1.03,13.333333333333334,36.1,"2,419",67.2,263,798,"1,061",0.0,817,"1,794",565,766,73.8
Indiana St. (MVC),0.0,13-14,440,382,1.15,11.235294117647058,34.8,"2,416",71.1,304,825,"1,129",0.0,814,"1,809",569,787,72.3
George Washington (Atlantic 10),1.0,13-14,461,428,1.08,12.969696969696969,36.4,"2,415",73.2,394,835,"1,229",0.0,839,"1,812",550,844,65.2
Cleveland St. (Horizon),0.0,13-14,469,414,1.13,12.545454545454543,40.4,"2,410",73.0,345,774,"1,119",0.0,837,"1,786",496,659,75.3
Penn St. (Big Ten),0.0,13-14,384,361,1.06,10.617647058823527,31.9,"2,409",70.9,357,840,"1,197",0.0,820,"1,915",559,754,74.1
Ga. Southern (SoCon),0.0,13-14,327,405,0.81,11.911764705882351,33.8,"2,406",70.8,372,825,"1,197",0.0,840,"1,927",484,731,66.2
Elon (SoCon),0.0,13-14,442,386,1.15,12.0625,37.5,"2,392",74.8,290,796,"1,086",0.0,837,"1,789",462,639,72.3
Marshall (CUSA),0.0,13-14,397,427,0.93,12.93939393939394,30.8,"2,385",72.3,423,799,"1,222",0.0,837,"1,938",509,818,62.2
Washington (Pac-12),0.0,13-14,427,365,1.17,11.40625,33.9,"2,384",74.5,354,751,"1,105",0.0,835,"1,871",527,695,75.8
Tennessee Tech (OVC),0.0,13-14,408,498,0.82,15.090909090909092,32.7,"2,376",72.0,412,757,"1,169",0.0,822,"1,811",547,808,67.7
Saint Louis (Atlantic 10),1.0,13-14,482,431,1.12,12.676470588235292,31.6,"2,374",69.8,345,886,"1,231",0.0,829,"1,869",526,755,69.7
Western Mich. (MAC),1.0,13-14,376,464,0.81,14.06060606060606,32.9,"2,373",71.9,323,820,"1,143",0.0,779,"1,684",620,856,72.4
Northern Colo. (Big Sky),0.0,13-14,388,365,1.06,11.40625,38.6,"2,364",73.9,346,679,"1,025",0.0,864,"1,752",446,651,68.5
Prairie View (SWAC),0.0,13-14,362,490,0.74,14.411764705882351,34.3,"2,362",69.5,403,761,"1,164",0.0,813,"1,949",513,791,64.9
San Diego (WCC),0.0,13-14,410,415,0.99,11.857142857142858,37.5,"2,362",67.5,335,825,"1,160",0.0,816,"1,815",505,726,69.6
Eastern Wash. (Big Sky),0.0,13-14,417,373,1.12,12.03225806451613,37.1,"2,362",76.2,329,804,"1,133",0.0,813,"1,791",485,700,69.3
UNLV (Mountain West),0.0,13-14,437,367,1.19,11.12121212121212,32.9,"2,355",71.4,415,899,"1,314",0.0,834,"1,905",492,752,65.4
Bryant (NEC),0.0,13-14,420,397,1.06,12.40625,33.3,"2,349",73.4,307,787,"1,094",0.0,839,"1,787",470,669,70.3
Colorado St. (Mountain West),0.0,13-14,405,293,1.38,9.15625,32.6,"2,347",73.3,405,797,"1,202",0.0,770,"1,798",637,877,72.6
Rutgers (AAC),0.0,13-14,418,417,1.0,12.636363636363637,33.6,"2,347",71.1,399,770,"1,169",0.0,823,"1,931",502,711,70.6
Houston (AAC),0.0,13-14,486,421,1.15,12.757575757575758,36.7,"2,345",71.1,359,782,"1,141",0.0,833,"1,833",467,700,66.7
Georgetown (Big East),0.0,13-14,431,387,1.11,11.727272727272728,33.1,"2,344",71.0,336,765,"1,101",0.0,801,"1,743",562,780,72.1
Harvard (Ivy League),1.0,13-14,451,365,1.24,11.40625,38.4,"2,343",73.2,335,757,"1,092",0.0,787,"1,693",585,809,72.3
William & Mary (CAA),0.0,13-14,447,331,1.35,10.34375,39.9,"2,340",73.1,250,744,994,0.0,798,"1,676",463,667,69.4
Santa Clara (WCC),0.0,13-14,403,329,1.22,9.969696969696969,36.6,"2,340",70.9,341,716,"1,057",0.0,788,"1,853",516,704,73.3
Middle Tenn. (CUSA),0.0,13-14,433,416,1.04,12.606060606060606,34.2,"2,339",70.9,399,812,"1,211",0.0,816,"1,795",529,796,66.5
Vermont (America East),0.0,13-14,424,396,1.07,12.0,40.0,"2,334",70.7,327,804,"1,131",0.0,785,"1,673",569,785,72.5
Akron (MAC),0.0,13-14,387,446,0.87,13.117647058823527,34.6,"2,332",68.6,412,763,"1,175",0.0,813,"1,855",467,750,62.3
Portland (WCC),0.0,13-14,472,366,1.29,11.806451612903226,39.4,"2,327",75.1,339,777,"1,116",0.0,810,"1,778",516,702,73.5
Cincinnati (AAC),1.0,13-14,425,377,1.13,11.088235294117649,33.5,"2,325",68.4,457,767,"1,224",0.0,805,"1,893",519,733,70.8
Illinois St. (MVC),0.0,13-14,409,420,0.97,12.352941176470589,31.2,"2,323",68.3,338,843,"1,181",0.0,767,"1,886",545,774,70.4
South Carolina (SEC),0.0,13-14,416,485,0.86,14.264705882352942,37.8,"2,323",68.3,468,734,"1,202",0.0,765,"1,853",598,847,70.6
Portland St. (Big Sky),0.0,13-14,411,366,1.12,11.4375,36.1,"2,320",72.5,285,694,979,0.0,802,"1,729",520,711,73.1
North Florida (ASUN),0.0,13-14,401,483,0.83,15.09375,35.9,"2,318",72.4,383,800,"1,183",0.0,789,"1,784",513,728,70.5
Nevada (Mountain West),0.0,13-14,347,333,1.04,10.40625,33.8,"2,316",72.4,352,761,"1,113",0.0,796,"1,835",510,700,72.9
South Dakota St. (Summit League),0.0,13-14,421,381,1.1,11.90625,34.5,"2,315",72.3,313,818,"1,131",0.0,769,"1,719",568,751,75.6
Columbia (Ivy League),0.0,13-14,419,412,1.02,12.117647058823527,38.7,"2,313",68.0,284,827,"1,111",0.0,742,"1,662",551,711,77.5
Duke (ACC),1.0,14-15,588,421,1.4,10.794871794871796,38.7,"3,091",79.3,445,991,"1,436",36.82,"1,099","2,191",610,873,69.9
Gonzaga (WCC),1.0,14-15,620,397,1.56,10.447368421052632,40.0,"2,989",78.7,389,"1,051","1,440",37.89,"1,084","2,083",557,806,69.1
Notre Dame (ACC),1.0,14-15,576,357,1.61,9.394736842105264,39.0,"2,963",78.0,313,918,"1,231",32.39,"1,050","2,061",561,756,74.2
North Carolina (ACC),1.0,14-15,661,481,1.37,12.657894736842104,35.8,"2,953",77.7,526,"1,015","1,541",40.55,"1,099","2,309",571,814,70.1
BYU (WCC),1.0,14-15,594,417,1.42,11.914285714285716,39.3,"2,931",83.7,421,928,"1,349",38.54,976,"2,090",679,886,76.6
Arizona (Pac-12),1.0,14-15,528,419,1.26,11.026315789473683,36.0,"2,911",76.6,411,988,"1,399",36.82,"1,009","2,068",700,974,71.9
Wisconsin (Big Ten),1.0,14-15,504,296,1.7,7.4,36.5,"2,900",72.5,383,955,"1,338",33.45,"1,014","2,115",584,765,76.3
Kentucky (SEC),1.0,14-15,553,408,1.36,10.461538461538462,34.9,"2,900",74.4,491,991,"1,482",38.0,"1,006","2,150",685,943,72.6
Eastern Wash. (Big Sky),1.0,14-15,454,376,1.21,10.742857142857142,40.0,"2,820",80.6,351,832,"1,183",33.8,977,"2,045",522,719,72.6
Louisiana (Sun Belt),0.0,14-15,529,525,1.01,14.583333333333334,35.8,"2,789",77.5,452,969,"1,421",39.47,975,"2,125",599,848,70.6
Arkansas (SEC),1.0,14-15,579,430,1.35,11.944444444444445,34.9,"2,787",77.4,470,820,"1,290",35.83,978,"2,196",593,819,72.4
Iona (MAAC),0.0,14-15,573,427,1.34,12.2,39.6,"2,782",79.5,348,912,"1,260",36.0,950,"2,051",538,768,70.1
Michigan St. (Big Ten),1.0,14-15,646,441,1.46,11.307692307692308,38.5,"2,773",71.1,436,"1,022","1,458",37.38,"1,014","2,181",451,714,63.2
Murray St. (OVC),0.0,14-15,543,411,1.32,11.742857142857142,38.7,"2,764",79.0,422,870,"1,292",36.91,961,"1,995",579,831,69.7
Villanova (Big East),1.0,14-15,570,382,1.49,10.61111111111111,38.9,"2,754",76.5,371,864,"1,235",34.31,916,"1,951",596,815,73.1
Oregon (Pac-12),1.0,14-15,508,421,1.21,11.694444444444445,36.2,"2,713",75.4,372,926,"1,298",36.06,992,"2,143",466,612,76.1
Xavier (Big East),1.0,14-15,596,447,1.33,12.08108108108108,35.1,"2,712",73.3,364,918,"1,282",34.65,956,"2,011",566,775,73.0
Northwestern St. (Southland),0.0,14-15,509,392,1.3,12.25,35.7,"2,687",84.0,372,734,"1,106",34.56,946,"2,053",531,709,74.9
Stanford (Pac-12),0.0,14-15,435,399,1.09,10.783783783783784,37.8,"2,676",72.3,428,935,"1,363",36.84,908,"2,089",614,846,72.6
SFA (Southland),1.0,14-15,596,477,1.25,14.029411764705882,37.9,"2,672",78.6,413,763,"1,176",34.59,911,"1,870",588,799,73.6
Hofstra (CAA),0.0,14-15,525,379,1.39,11.147058823529411,36.2,"2,668",78.5,402,838,"1,240",36.47,902,"2,013",561,801,70.0
North Florida (ASUN),1.0,14-15,506,436,1.16,12.457142857142856,39.1,"2,651",75.7,340,880,"1,220",34.86,897,"1,910",540,747,72.3
Iowa St. (Big 12),1.0,14-15,546,375,1.46,11.029411764705882,36.2,"2,645",77.8,323,898,"1,221",35.91,940,"1,973",502,721,69.6
Ohio St. (Big Ten),1.0,14-15,534,396,1.35,11.314285714285717,37.0,"2,635",75.3,387,854,"1,241",35.46,964,"1,995",471,693,68.0
Indiana (Big Ten),1.0,14-15,473,392,1.21,11.529411764705882,40.6,"2,633",77.4,407,817,"1,224",36.0,923,"1,989",468,651,71.9
Louisiana Tech (CUSA),0.0,14-15,504,390,1.29,10.833333333333334,32.8,"2,632",73.1,374,836,"1,210",33.61,945,"2,114",494,717,68.9
Gardner-Webb (Big South),0.0,14-15,565,430,1.31,12.285714285714286,35.0,"2,619",74.8,387,839,"1,226",35.03,909,"2,027",513,767,66.9
VCU (Atlantic 10),1.0,14-15,456,384,1.19,10.666666666666666,34.3,"2,609",72.5,444,833,"1,277",35.47,896,"2,139",524,797,65.7
Northern Ariz. (Big Sky),0.0,14-15,463,447,1.04,11.763157894736842,34.7,"2,606",68.6,501,962,"1,463",38.5,878,"2,175",595,793,75.0
Sam Houston (Southland),0.0,14-15,516,455,1.13,13.0,32.9,"2,592",74.1,463,946,"1,409",40.26,846,"1,973",634,898,70.6
